Date,Day,People Tested - Total,People Positive - Total,People Not-Positive - Total,People Tested - Age 0-17,People Tested - Age 18-29,People Tested - Age 30-39,People Tested - Age 40-49,People Tested - Age 50-59,People Tested - Age 60-69,People Tested - Age 70-79,People Tested - Age 80+,People Tested - Age Unknown,People Tested - Female,People Tested - Male,People Tested - Gender Unknown,People Tested - Latinx,People Tested - Asian Non-Latinx,People Tested - Black Non-Latinx,People Tested - White Non-Latinx,People Tested - Other Race Non-Latinx,People Tested - Unknown Race/Ethnicity,People Positive - Age 0-17,People Positive - Age 18-29,People Positive - Age 30-30,People Positive - Age 40-49,People Positive - Age 50-59,People Positive - Age 60-69,People Positive - Age 70-79,People Positive - Age 80+,People Positive - Age Unknown,People Positive - Female,People Positive - Male,People Positive - Gender Unknown,People Positive - Latinx,People Positive - Asian Non-Latinx,People Positive - Black Non-Latinx,People Positive - White Non-Latinx,People Positive - Other Race Non-Latinx,People Positive - Unknown Race/Ethnicity,People Not-Positive - Age 0-17,People Not-Positive - Age 18-29,People Not-Positive - Age 30-39,People Not-Positive - Age 40-49,People Not-Positive - Age 50-59,People Not-Positive - Age 60-69,People Not-Positive - Age 70-79,People Not-Positive - Age 80+,People Not-Positive - Age Unknown,People Not-Positive - Female,People Not-Positive - Male,People Not-Positive - Gender Unknown,People Not-Positive - Latinx,People Not-Positive - Asian Non-Latinx,People Not-Positive - Black Non-Latinx,People Not-Positive - White Non-Latinx,People Not-Positive - Other Race Non-Latinx,People Not-Positive - Unknown Race/Ethnicity
08/31/2020,Monday,5146,406,4740,605,1422,1088,658,577,438,237,119,2,2700,2364,82,1052,137,799,1091,189,1878,58,119,67,59,50,29,14,10,0,214,190,2,181,4,60,72,15,74,547,1303,1021,599,527,409,223,109,2,2486,2174,80,871,133,739,1019,174,1804
09/04/2020,Friday,4518,382,4136,618,1284,993,552,440,374,165,90,2,2421,2059,38,999,137,715,852,160,1655,58,99,80,50,37,32,16,10,0,201,179,2,178,10,68,75,8,43,560,1185,913,502,403,342,149,80,2,2220,1880,36,821,127,647,777,152,1612
08/04/2020,Tuesday,5577,367,5210,604,1570,1211,712,612,478,258,121,11,3059,2417,101,1193,171,962,1284,195,1772,48,105,68,56,38,31,17,4,0,199,164,4,170,10,69,60,15,43,556,1465,1143,656,574,447,241,117,11,2860,2253,97,1023,161,893,1224,180,1729
09/24/2020,Thursday,738,8,730,89,194,145,102,58,58,37,55,0,424,312,2,61,56,119,330,52,120,0,0,3,1,1,1,1,1,0,4,4,0,1,0,0,6,1,0,89,194,142,101,57,57,36,54,0,420,308,2,60,56,119,324,51,120
06/23/2020,Tuesday,4993,233,4760,292,1048,963,666,765,650,356,243,10,2641,2193,159,591,131,1021,934,168,2148,12,72,43,37,27,16,17,9,0,117,115,1,95,7,42,47,4,38,280,976,920,629,738,634,339,234,10,2524,2078,158,496,124,979,887,164,2110
04/18/2020,Saturday,1738,535,1203,73,266,348,328,309,229,116,69,0,891,833,14,302,58,384,243,69,682,12,89,101,96,90,81,44,22,0,244,286,5,178,17,161,61,21,97,61,177,247,232,219,148,72,47,0,647,547,9,124,41,223,182,48,585
03/26/2020,Thursday,1343,414,929,35,192,309,287,247,158,77,37,1,700,638,5,107,34,352,234,60,556,2,65,74,79,96,53,36,9,0,182,230,2,77,12,197,92,13,23,33,127,235,208,151,105,41,28,1,518,408,3,30,22,155,142,47,533
07/16/2020,Thursday,5422,297,5125,514,1375,1175,695,648,541,314,150,10,2988,2296,138,1105,108,1016,1151,303,1739,27,88,67,42,31,22,10,10,0,156,140,1,93,3,78,58,12,53,487,1287,1108,653,617,519,304,140,10,2832,2156,137,1012,105,938,1093,291,1686
07/08/2020,Wednesday,5676,310,5366,451,1596,1271,743,654,540,266,137,18,3030,2470,176,803,113,963,1247,175,2375,37,100,70,39,32,19,11,2,0,160,149,1,90,8,71,54,13,74,414,1496,1201,704,622,521,255,135,18,2870,2321,175,713,105,892,1193,162,2301
08/18/2020,Tuesday,5407,393,5014,563,1571,1049,729,646,450,266,128,5,2949,2388,70,999,169,1012,1271,274,1682,50,121,74,56,45,23,20,4,0,203,188,2,184,6,59,74,9,61,513,1450,975,673,601,427,246,124,5,2746,2200,68,815,163,953,1197,265,1621
06/20/2020,Saturday,2286,124,2162,170,463,410,315,341,291,204,89,3,1278,983,25,222,31,377,457,102,1097,18,32,17,21,19,5,9,3,0,64,60,0,69,1,15,18,4,17,152,431,393,294,322,286,195,86,3,1214,923,25,153,30,362,439,98,1080
08/23/2020,Sunday,1725,113,1612,184,501,342,210,192,138,107,49,2,940,779,6,193,55,314,470,100,593,9,35,13,20,15,11,8,2,0,59,54,0,37,1,23,35,5,12,175,466,329,190,177,127,99,47,2,881,725,6,156,54,291,435,95,581
07/09/2020,Thursday,4628,288,4340,386,1376,1056,561,564,388,188,105,4,2514,2010,104,631,85,835,1011,123,1943,27,95,58,40,34,22,7,5,0,136,151,1,85,4,87,60,9,43,359,1281,998,521,530,366,181,100,4,2378,1859,103,546,81,748,951,114,1900
06/13/2020,Saturday,2418,121,2297,147,511,428,309,354,321,217,128,3,1306,1035,77,229,35,419,434,108,1193,13,26,19,14,22,14,7,6,0,66,55,0,46,0,22,16,9,28,134,485,409,295,332,307,210,122,3,1240,980,77,183,35,397,418,99,1165
